##SHEET:attacking_map
node_id|from_node_id|next_node_id|parent_action_id|position_family|recommended_followup_tree|is_terminal|edge_label|sort_order|priority_rank|start_position|role|your_action|partner_response|follow_up|end_position|outcome_type|success_condition|failure_risk|gi_no_gi|skill_level|priority|notes|key_details|common_mistakes|concept_tags|chain_family|energy_cost|video_ref_slot|counter_if_fails|reaction_tags|grip_tags
ST-001|ST-A-single-leg-takedown|HGT-ROOT|ST-A-single-leg-takedown|standing|Top Half Guard Passing Tree|No|Partner balance compromised / leg captured → Run the pipe|1|1|Standing / Neutral|Standing|Single leg takedown|Partner balance compromised / leg captured|Run the pipe|Top half guard or side control|Takedown|Head tight, hands locked, leg pinched, drive at angle|Sprawled on or guillotined|Both|White|High|Fundamental single-leg finish.|Ear to belly; step to 45; lift knee not back; head up|Head outside of leg; hanging on leg|posture;level_change;head_position;angle|single_leg_chain|Medium|VID-ST-001|Switch to double or pull guard|R-BAL-BROKEN|G-HANDS-LOCKED;G-COLLAR-TIE
ST-002|ST-A-single-leg-takedown||ST-A-single-leg-takedown|standing||No|Partner sprawls → Switch to double or cut corner|2|1|Standing / Neutral|Standing|Single leg takedown|Partner sprawls|Switch to double or cut corner|Top position or scramble|Takedown chain|Reclaim head; hips under you; chain to 2nd leg|Neck exposure / guillotine|Both|Blue|High|Do not hang under hips.|Head inside; short step to 2nd leg|Head down; stalling|posture;head_position;chain_attack|single_leg_chain|High|VID-ST-002|Pull guard or sit to single|R-SPRAWL|G-HANDS-LOCKED
ST-003|ST-A-single-leg-takedown|HGT-ROOT|ST-A-single-leg-takedown|standing|Top Half Guard Passing Tree|No|Partner applies strong whizzer → Shelf leg and run the pipe|3|1|Standing / Neutral|Standing|Single leg takedown|Partner applies strong whizzer|Shelf leg and run the pipe|Top half guard|Takedown|Leg elevated; opponent hopping|Whizzer flattens posture|Both|Blue|High|Classic whizzer response.|Lift knee high; short-step; head up|Elbow above shoulder; staying square|head_position;angle;posture|single_leg_chain|High|VID-ST-003|Limp arm to back or high crotch|R-WHIZZER|G-HANDS-LOCKED
ST-004|ST-A-single-leg-takedown||ST-A-single-leg-takedown|standing||No|Partner hops on one foot → Trip the far leg|4|2|Standing / Neutral|Standing|Single leg takedown|Partner hops on one foot|Trip the far leg|Top position|Takedown|Control knee line; drive at angle|Partner circles out or posts|Both|White|Medium|Simple when balance already broken.|Kick far leg across centerline|Trying to muscle lift|angle;base_breaking|single_leg_chain|Low|VID-ST-004|Switch to run the pipe|R-HOP|G-HANDS-LOCKED
ST-005|ST-A-double-leg-takedown|ST-ROOT|ST-A-double-leg-takedown|standing|Standing Tree|No|Partner sprawls → Come up to single leg|1|2|Standing / Neutral|Standing|Double leg takedown|Partner sprawls|Come up to single leg|Standing single-leg chain|Takedown chain|Stay connected; climb leg|Flattened under sprawl|Both|Blue|Medium|Good re-attack.|Knee up; inside hand climbs leg|Shooting from far; head down|level_change;chain_attack|double_leg_chain|High|VID-ST-005|Pull guard or reset|R-SPRAWL|G-NONE
ST-006|ST-A-double-leg-takedown|HGT-ROOT|ST-A-double-leg-takedown|standing|Top Half Guard Passing Tree|No|Partner stays upright → Drive through to finish|2|1|Standing / Neutral|Standing|Double leg takedown|Partner stays upright|Drive through to finish|Top half guard or side control|Takedown|Strong penetration step; hips under|Stuffed shot / front headlock|Both|White|High|Basic double-leg.|Change levels first; near knee to mat|Diving in; reaching|level_change;posture;penetration_step|double_leg_chain|High|VID-ST-006|Chain to single|R-POSTURE-UP|G-NONE
ST-007|ST-A-snapdown|FH-ROOT|ST-A-snapdown|standing|Front Headlock Tree|No|Partner posts hands on mat → Front headlock|1|1|Standing / Neutral|Standing|Snapdown|Partner posts hands on mat|Front headlock|Front headlock top|Control|Head below shoulders; hips heavy|Partner circles to safe side|Both|White|High|Entry to front headlock.|Collar tie + wrist; angle off centerline|Straight-down pull; squaring up|head_position;angle;tie_up|snapdown_chain|Medium|VID-ST-007|Release and re-tie|R-POSTS-HANDS|G-COLLAR-TIE;G-WRIST-CONTROL
ST-008|ST-A-snapdown||ST-A-snapdown|standing||No|Partner resists by standing tall → Attack single leg|2|1|Standing / Neutral|Standing|Snapdown|Partner resists by standing tall|Attack single leg|Single-leg position|Takedown chain|Weight shifts up - change levels in|Missed timing|Both|Blue|High|Snapdown opens legs.|Use upward reaction as level-change cue|Fighting snap when they are upright|chain_attack;level_change;reaction_based|snapdown_chain|Medium|VID-ST-008|Re-tie and reset|R-POSTURE-UP|G-COLLAR-TIE
ST-009|ST-A-arm-drag||ST-A-arm-drag|standing||No|Partner steps forward → Attack single leg|1|2|Standing / Neutral|Standing|Arm drag|Partner steps forward|Attack single leg|Single-leg position|Takedown chain|Arm crosses centerline; angle off hip|Partner squares back up|Both|White|Medium|Simple arm-drag to leg.|2-on-1 tricep/wrist; pull past hip|Straight-back pull; losing 2-on-1|angle;tie_up;two_on_one|arm_drag_chain|Low|VID-ST-009|Re-tie or pull guard|R-FORWARD-PRESSURE|G-TWO-ON-ONE;G-SLEEVE
ST-010|ST-A-arm-drag|BK-ROOT|ST-A-arm-drag|standing|Back Control Tree|No|Partner over-rotates → Back take standing|2|2|Standing / Neutral|Standing|Arm drag|Partner over-rotates|Back take standing|Back control|Back take|Chest-to-back; seatbelt or body-lock|Losing grip during transition|Both|Blue|Medium|Useful from collar tie / wrist.|Harness first; hooks or body-lock second|Jumping back with no connection|connection;seatbelt;angle|arm_drag_chain|Medium|VID-ST-010|Return to single leg|R-OVER-ROTATE|G-SEATBELT;G-TWO-ON-ONE
